Domain,Phylum,Class,Order,Family,Genus,Active_Mean,Active_SE,Hibernation_Mean,Hibernation_SE,Trend
Bacteria,Actinobacteria,Actinobacteria,Actinopolysporales,Actinopolysporaceae,Actinopolyspora,0.080297,0.064009201,0.0242264,0.015447958,
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,0.385125083,0.182947523,0,0,
Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,0.220049167,0.09388345,0,0,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,12.94565417,3.185565271,12.3947528,4.320041603,X
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,0.45909925,0.126170773,0.7437816,0.151665433,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Dysgonamonadaceae,Dysgonomonas,0.190077167,0.044362625,0.0335024,0.015708997,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Candidatus Amulumruptor,1.08778025,0.164221819,1.2298342,0.237320442,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,0.289704833,0.058758419,0.346685,0.173360577,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,0.007047333,0.003682836,0.0222552,0.0222552,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,0.0274635,0.013051122,0,0,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,8.038457,1.41431837,1.2993398,0.536862859,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,0.00708925,0.004218998,0.0350586,0.018226285,
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Tannerellaceae,Parabacteroides,2.150256833,0.473794333,10.930975,3.057149736,
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Marinilabilia,0.242427083,0.091936739,0,0,
Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Mangrovibacterium,0.053220917,0.014799462,0.0068306,0.0068306,
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Fibrisoma,0.109901917,0.053611996,0.0198808,0.0198808,
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Zeaxanthinibacter,0.133527417,0.048157287,0,0,
Bacteria,Bacteroidetes,Saprospiria,Saprospirales,Lewinellaceae,Lewinella,0.00554025,0.004055926,0.0074184,0.0074184,
Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,0.051586333,0.022670819,0.2560172,0.108795702,
Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,0.351300333,0.150717098,0.0093896,0.0093896,
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,0.204524917,0.108178955,0.0046948,0.0046948,
Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,0.031877167,0.016009716,0,0,
Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,0.0793435,0.024376996,0.0267114,0.019339194,
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,0.013886417,0.008484652,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,0.107302917,0.057463756,0.2163156,0.097238375,
Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,0.129593417,0.043475651,0.0722216,0.039049671,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,0.02101925,0.013233147,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,0.042413417,0.023291172,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,0.043818917,0.026562397,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Pseudobutyrivibrio,0.018648917,0.010433291,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,0.07065375,0.034374799,0.0046948,0.0046948,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Fournierella,0.00686275,0.003955461,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,0.101454667,0.075878625,0.0798122,0.0798122,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,0.031854583,0.020844383,0,0,
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,0.0202685,0.008191723,0.0046948,0.0046948,
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,0.0375525,0.021111199,0,0,
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,0.038161333,0.015664036,0,0,
Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Talaromyces,0.067604417,0.026713416,0,0,
Unclassified,NA,NA,NA,NA,NA,72.09755425,3.127887084,72.2309076,3.40206801,
